Day,News,IND1,IND2
135,Germany wins 2018 FIFA World Cup in another heartbreaking loss for Messi's Argentina squad.,30,20
136,,40,5
137,,40,15
138,Several suicide bombs at Frankfurt Airport kill 120 and injure 200,-80,-35
139,,-130,-60
140,,-160,-80
141,,-100,-100
142,Germany announces it will incentivize its citizens to purchase electric vehicles through subsidies,-30,-30
143,,10,-10
144,,50,-10
145,Apple reports its third consecutive quarter of declining iPhone sales. Google Pixel is stealing market share.,-10,30
146,,-15,15
147,,20,25
148,,35,10
149,German balance of trade at record low. Trade surplus decreased 50% as exports plummeted,-100,35
150,,-130,70
151,,-160,140
152,,-200,150
153,German immigration policy-makers are sending Syrian refugees back home,-100,-20
154,,-80,-30
155,,-60,-10
156,"Danny Kang, lead singer in K-Pop band SHINE, overdoses on-stage during a concert in Manila",-30,-20
157,,-10,15
158,,-5,25
159,,5,30
160,German consumer confidence reaches a low of 9 from 15 one year ago. This weakening is a consequence of an increasingly difficult external trade environment.,-50,40
161,,-130,70
162,,-110,80
163,,-80,60
164,"Chinese Minister of Transport, Yao Xiao, agrees to develop the first high-speed railroad linking the country to the EU",40,100
165,,70,120
166,,60,100
167,,70,80
168,,50,60
169,ISIS is officially defeated in Raqqa,20,60
170,,40,40
171,,50,45
172,,25,20
173,EU inflation over the quarter increased to a 10-year high annual rate of 2.8%,20,100
174,,40,75
175,,35,125
176,,20,120
177,The Federal Reserve raises interest rates by another 25bps ,20,-100
178,,30,-120
179,,10,-100
180,,25,-80
181,OPEC holds talks to cut production ,5,-30
182,,-20,-10
183,,-40,-5
184,,-50,-25
185,,-35,-15
186,The largest volcano in Iceland erupts. Ash cloud causes mass flight cancellations and delays.,15,-20
187,,10,-25
188,,20,-10
189, ,5,-5
190,"Daimler, Volkswagen, and BMW all report higher revenues than expected in Q3. Market estimates were very bearish",90,-15
191,,80,-10
192,,100,-20
193,,110,-10
194,Lufthansa pilots go on strike. Negotiations regarding early retirement packages break down.,10,-15
195,,-20,-25
196,,-50,-20
197,"Oil reaches $70 per barrel, its highest level in 4 years ",-40,-20
198,,-80,-30
199,,-100,-40
200,,-130,-60
201,,-150,-50
202,"R3, the startup leading the banking blockchain consortium consisting of over 60 of the world’s leading banks, files a patent for its distributed technology.",-10,30
203,,50,20
204,,50,-20
205,"Industrial production in China fell 5%, slowing from a 6% gain one year earlier and missing market expectations of a 5.5% rise",-20,20
206,,-40,10
207,,-80,-40
208,,-65,-30
209,"Donald Trump cuts military spending allocated to NATO from 3.62% of GDP to the target of 2%. As a result, NATO's total budget will fall from $900B to $680B",-10,-100
210,,-20,-80
211,,-60,-90
212,,-50,-50
213,SpaceX reaches Mars. Rumours are that natural resources might have been found,-10,-5
214,,-20,-10
215,,-10,-20
216,"Goldman Sachs analyst, Felix Lebrun, publishes a bearish report on the German automotive industry",-20,-5
217,,-40,-20
218,,-50,-20
219,,-40,-15
220,"German company Bains Industries""  invents first solar-powered plane with ability to fly around the world in one flight.""""erman company ""Bains Industries""  invents first solar-powered plane with ability to fly around the world""""rman company ""Bains Industries""  invents first solar-powered plane with ability to fly ar""""man company ""Bains Industries""  invents first solar-powered plane with abil""""an company ""Bains Industries""  invents first solar-powered pla""""n company ""Bains Industries""  invents first solar-"""" company ""Bains Industries""  invents fi""""company ""Bains Industries""  i""""ompany ""Bains Indust""""mpany ""Bains""""pany """,70,35
221,,95,30
222,,45,40
223,"Germany's openness to Chinese investment is waning quickly, potentially chilling diplomatic relations between the giant trading partners",-5,30
224,,-15,15
225,,-30,20
226,,-20,-5
227,The US House of Representatives calls for impeachment of Donald Trump,25,50
228,,35,80
229,,10,100
230,,-20,90
231,Germany reports its first trade deficit in over 25 years,-60,50
232,,-120,80
233,,-160,110
234,,-100,80
235,Audi is taking up a factory-backed commitment in the all-electric Formula E racing series,50,35
236,,60,-20
237,,70,-40
238,"US nonfarm payrolls increased by 120K last month, meeting expectations",50,20
239,,10,-5
240,,20,10
241,,-10,25
242,"After spending a few years in the NBA with Under Armour, superstar Jesse Kirman accepts Adidas endorsement worth $5 million per year",40,15
243,,70,20
244,,55,-5
245,,45,10
246,Standard & Poor's credit rating for Germany stands at AAA. Outlook has shifted from stable to negative watch,-100,-30
247,,-65,-10
248,,-50,-20
249,A coup d'etat was attempted in Philippines,10,-10
250,,30,-20
251,,40,-25
